Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Population,latlng,region,subregion,ISO_A2,Life expectancy,GDP
Y2015,Food supply (kcal/capita/day),Albania,163.0,439.0,1140.0,232.0,9.0,1208.0,112.0,2267.0,214.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2015,Food supply quantity (kg/capita/yr),Albania,261.72,196.92,151.71,41.72,5.3500000000000005,704.34,29.9,748.6299999999997,36.11,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2015,Protein supply quantity (g/capita/day),Albania,6.76,13.04,35.57999999999999,15.69,1.49,69.28,8.8,53.05999999999999,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Fat supply quantity (g/capita/day),Albania,1.4700000000000002,15.61,7.479999999999999,18.18,0.33,80.9,8.04,40.07999999999999,0.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Food supply (kcal/capita/day),Albania,179.0,443.0,1178.0,231.0,9.0,1312.0,114.0,2317.0,212.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Food supply quantity (kg/capita/yr),Albania,284.69,203.94,155.68000000000004,41.42999999999999,5.36,772.74,30.52,782.5899999999997,36.25,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2016,Protein supply quantity (g/capita/day),Albania,7.42,13.13,36.76,15.76,1.49,76.48,9.0,54.99000000000001,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Fat supply quantity (g/capita/day),Albania,1.53,17.71,8.45,20.58,0.33,83.56,7.74,42.31999999999999,0.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Food supply (kcal/capita/day),Albania,188.0,463.0,1130.0,263.0,9.0,1352.0,110.0,2310.0,234.0,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Food supply quantity (kg/capita/yr),Albania,296.86,203.93000000000004,149.58,47.51000000000001,5.36,792.68,29.32,790.1600000000003,38.74,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2017,Protein supply quantity (g/capita/day),Albania,7.76,15.17,34.66999999999999,18.31,1.49,78.78,8.64,53.30999999999999,0.01,Albania,22.3,6.2,2838000.0,"[41, 20]",Europe,Southern Europe,AL,75.15625,2119.7266788750007
Y2014,Fat supply quantity (g/capita/day),Algeria,0.79,5.98,8.46,6.8400000000000025,0.35,29.18,3.66,52.88999999999999,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Food supply (kcal/capita/day),Algeria,133.0,285.0,1708.0,93.0,10.0,602.0,54.0,2924.0,264.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Food supply quantity (kg/capita/yr),Algeria,179.78,123.71,223.05,20.12,4.3900000000000015,302.12,15.86,646.4000000000002,28.8,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Protein supply quantity (g/capita/day),Algeria,5.64,7.24,50.29,7.37,1.3100000000000005,33.56,4.52,67.33000000000001,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2015,Fat supply quantity (g/capita/day),Algeria,0.8200000000000001,5.74,8.499999999999998,6.58,0.36000000000000004,26.84,3.98,54.77,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2015,Food supply (kcal/capita/day),Algeria,137.0,290.0,1710.0,89.0,8.0,540.0,58.0,2961.0,264.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2015,Food supply quantity (kg/capita/yr),Algeria,184.84,126.63,223.15,19.37,4.160000000000001,250.74,17.3,657.2299999999998,28.89,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2015,Protein supply quantity (g/capita/day),Algeria,5.72,7.120000000000001,50.40000000000001,7.08,1.34,30.06,4.94,68.13999999999999,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2016,Fat supply quantity (g/capita/day),Algeria,0.8400000000000001,5.61,8.33,6.5600000000000005,0.3200000000000001,25.94,3.94,56.81999999999999,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2016,Food supply (kcal/capita/day),Algeria,139.0,280.0,1703.0,89.0,7.0,516.0,58.0,2965.0,267.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2016,Food supply quantity (kg/capita/yr),Algeria,190.2,117.85,222.31,19.24,3.91,232.2,17.12,655.9200000000002,29.42,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2016,Protein supply quantity (g/capita/day),Algeria,5.83,6.92,50.14999999999999,7.01,1.1900000000000002,28.58,4.88,67.14999999999996,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2017,Fat supply quantity (g/capita/day),Algeria,0.8200000000000001,5.4700000000000015,8.06,6.21,0.31000000000000005,25.8,3.88,56.73000000000002,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2017,Food supply (kcal/capita/day),Algeria,138.0,272.0,1690.0,83.0,7.0,534.0,56.0,2950.0,267.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2017,Food supply quantity (kg/capita/yr),Algeria,186.08,115.32999999999998,220.41,18.05,3.86,243.42,16.86,647.49,29.3,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2017,Protein supply quantity (g/capita/day),Algeria,5.8100000000000005,6.73,49.87,6.5200000000000005,1.1800000000000002,29.96,4.8,67.41,0.0,Algeria,26.6,3.9,44357000.0,"[28, 3]",Africa,Northern Africa,DZ,73.61875,2847.8533923125
Y2014,Fat supply quantity (g/capita/day),Angola,0.16,12.1,5.94,13.909999999999998,1.92,2.72,0.6,32.81999999999999,0.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2014,Food supply (kcal/capita/day),Angola,24.0,257.0,772.0,173.0,49.0,58.0,8.0,1968.0,122.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2014,Food supply quantity (kg/capita/yr),Angola,32.08,99.16,97.32,30.03,26.36,30.6,2.44,518.5299999999999,26.15,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2014,Protein supply quantity (g/capita/day),Angola,1.23,9.63,20.380000000000006,10.94,7.729999999999999,3.12,0.7,37.06,0.01,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2015,Fat supply quantity (g/capita/day),Angola,0.12,10.2,6.08,11.65,1.73,2.2,0.3,31.370000000000005,0.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2015,Food supply (kcal/capita/day),Angola,18.0,222.0,785.0,143.0,45.0,42.0,4.0,1957.0,101.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2015,Food supply quantity (kg/capita/yr),Angola,27.43,89.97,98.98,25.85,22.710000000000004,20.24,1.26,505.0799999999999,17.3,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2015,Protein supply quantity (g/capita/day),Angola,0.98,8.33,20.76,9.12,6.82,2.04,0.36,37.25,0.01,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2016,Fat supply quantity (g/capita/day),Angola,0.11,9.1,6.16,10.31,1.3299999999999998,2.42,0.32,31.590000000000003,0.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2016,Food supply (kcal/capita/day),Angola,16.0,206.0,800.0,126.0,37.0,46.0,4.0,1989.0,102.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2016,Food supply quantity (kg/capita/yr),Angola,24.99,84.44999999999997,99.94999999999996,21.56,19.52,19.72,1.4,505.7099999999999,17.05,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2016,Protein supply quantity (g/capita/day),Angola,0.8500000000000001,7.000000000000001,21.14,7.6,5.649999999999999,2.46,0.4,36.96,0.01,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2017,Fat supply quantity (g/capita/day),Angola,0.12,9.6,6.41,10.75,1.38,2.4,0.3,33.84000000000002,0.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2017,Food supply (kcal/capita/day),Angola,17.0,215.0,832.0,132.0,37.0,46.0,4.0,2059.0,125.0,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2017,Food supply quantity (kg/capita/yr),Angola,26.31,87.67999999999998,104.07999999999998,23.48,20.22,18.98,1.34,516.0099999999999,21.12,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2017,Protein supply quantity (g/capita/day),Angola,0.89,7.57,22.07000000000001,8.25,5.879999999999999,2.48,0.38,37.72,0.01,Angola,6.8,25.0,32522000.0,"[-12.5, 18.5]",Africa,Middle Africa,AO,49.01875,1975.1430451187493
Y2014,Fat supply quantity (g/capita/day),Antigua and Barbuda,0.41,25.29,6.4499999999999975,25.97,2.8,21.36,1.42,39.52000000000002,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2014,Food supply (kcal/capita/day),Antigua and Barbuda,55.0,459.0,733.0,349.0,85.0,416.0,22.0,1694.0,265.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2014,Food supply quantity (kg/capita/yr),Antigua and Barbuda,63.540000000000006,188.45,84.4,73.36,54.16,153.92,5.96,412.71,45.53,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2014,Protein supply quantity (g/capita/day),Antigua and Barbuda,2.3200000000000003,23.93,19.12,26.88,13.79,22.02,1.64,29.120000000000008,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2015,Fat supply quantity (g/capita/day),Antigua and Barbuda,0.4,25.42,6.8,25.45,2.77,21.56,1.8,41.060000000000024,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2015,Food supply (kcal/capita/day),Antigua and Barbuda,55.0,466.0,754.0,341.0,85.0,432.0,28.0,1693.0,239.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
