Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Y2017,Fat supply quantity (g/capita/day),Jamaica,0.45999999999999996,14.22,3.7399999999999998,14.969999999999999,1.9200000000000002,17.96,1.02,42.43,0.0,Jamaica,24.4,8.0,0.13424706301174802,0.00149519401922392,0.0409042363830545,0.0918476326094696,2809000.0
Y2017,Food supply (kcal/capita/day),Jamaica,57.0,304.0,890.0,215.0,47.0,312.0,14.0,2250.0,511.0,Jamaica,24.4,8.0,0.13424706301174802,0.00149519401922392,0.0409042363830545,0.0918476326094696,2809000.0
Y2017,Food supply quantity (kg/capita/yr),Jamaica,88.06,151.25000000000003,115.74000000000001,58.96,25.419999999999998,141.84,3.96,526.05,63.74,Jamaica,24.4,8.0,0.13424706301174802,0.00149519401922392,0.0409042363830545,0.0918476326094696,2809000.0
Y2017,Protein supply quantity (g/capita/day),Jamaica,2.44,18.150000000000002,24.119999999999997,18.39,7.09,16.76,1.14,37.4,0.0,Jamaica,24.4,8.0,0.13424706301174802,0.00149519401922392,0.0409042363830545,0.0918476326094696,2809000.0
Y2014,Fat supply quantity (g/capita/day),Japan,0.62,11.95,4.4,13.12,5.99,10.78,10.52,52.68999999999999,0.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2014,Food supply (kcal/capita/day),Japan,70.0,209.0,1093.0,188.0,133.0,214.0,150.0,2179.0,256.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2014,Food supply quantity (kg/capita/yr),Japan,92.63,73.61,144.48999999999998,46.97,48.73,115.6,37.68,410.28000000000003,27.57,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2014,Protein supply quantity (g/capita/day),Japan,3.51,13.19,22.180000000000007,16.1,17.709999999999997,13.64,11.84,38.650000000000006,0.08,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2015,Fat supply quantity (g/capita/day),Japan,0.61,11.77,4.36,12.889999999999999,5.870000000000001,11.0,10.6,53.28999999999999,0.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2015,Food supply (kcal/capita/day),Japan,70.0,204.0,1080.0,183.0,130.0,216.0,150.0,2157.0,241.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
